FrameNum      10
Frame         1
Ball001-023   21872190218821842178217021632155214921442141214021412144214921552163217021782184218821902187
Ball024-046   21892185217721672155214321312120211221052101210021012105211221202131214321552167217721852189
Ball047-069   21812170215621402123210620912078206820602056205420562060206820782091210621232140215621702181
Ball070-092   21652147212621052084206520482034202320162011201020112016202320342048206520842105212621472165
Ball093-115   21412117209120662043202320071994198419781974197319741978198419942007202320432066209121172141
Ball116-138   21122083205420282005198719731963195719541952195119521954195719631973198720052028205420832112
Ball139-161   20802048201919941974196119521948194819481950195019501948194819481952196119741994201920482080
Ball162-184   20482016198819671954194819481953196019671972197419721967196019531948194819541967198820162048
Ball185-207   20191988196519521948195219641980199620112020202420202011199619801964195219481952196519882019
Ball208-230   19941967195219481956197419992027205520792094210020942079205520271999197419561948195219671994
Ball231-253   19741954194819561978201120512094213521682190219721902168213520942051201119781956194819541974
Ball254-276   19611948195219742011206021172175222922722300231023002272222921752117206020111974195219481961
Ball277-299   19521948196419992051211721902263233023832417242924172383233022632190211720511999196419481952
Ball300-322   19481953198020272094217522632350242924912531254525312491242923502263217520942027198019531948
Ball323-345   19481960199620552135222923302429251825882633264926332588251824292330222921352055199619601948
Ball346-368   19481967201120792168227223832491258826642713273027132664258824912383227221682079201119671948
Ball369-391   19501972202020942190230024172531263327132764278227642713263325312417230021902094202019721950
Ball392-414   19501974202421002197231024292545264927302782280027822730264925452429231021972100202419741950
Ball415-437   19501972202020942190230024172531263327132764278227642713263325312417230021902094202019721950
Ball438-460   19481967201120792168227223832491258826642713273027132664258824912383227221682079201119671948
Ball461-483   19481960199620552135222923302429251825882633264926332588251824292330222921352055199619601948
Ball484-506   19481953198020272094217522632350242924912531254525312491242923502263217520942027198019531948
Ball507-529   19521948196419992051211721902263233023832417242924172383233022632190211720511999196419481952
Ball530-552   19611948195219742011206021172175222922722300231023002272222921752117206020111974195219481961
Ball553-575   19741954194819561978201120512094213521682190219721902168213520942051201119781956194819541974
Ball576-598   19941967195219481956197419992027205520792094210020942079205520271999197419561948195219671994
Ball599-621   20191988196519521948195219641980199620112020202420202011199619801964195219481952196519882019
Ball622-644   20482016198819671954194819481953196019671972197419721967196019531948194819541967198820162048
Ball645-667   20802048201919941974196119521948194819481950195019501948194819481952196119741994201920482080
Ball668-690   21122083205420282005198719731963195719541952195119521954195719631973198720052028205420832112
Ball691-713   21412117209120662043202320071994198419781974197319741978198419942007202320432066209121172141
Ball714-736   21652147212621052084206520482034202320162011201020112016202320342048206520842105212621472165
Ball737-759   21812170215621402123210620912078206820602056205420562060206820782091210621232140215621702181
Ball760-782   21892185217721672155214321312120211221052101210021012105211221202131214321552167217721852189
Ball783-805   21872190218821842178217021632155214921442141214021412144214921552163217021782184218821902187
Frame         2
Ball001-023   22752279227722682256224122252211219821882182218021822188219822112225224122562268227722792275
Ball024-046   22782270225522342211218621622141212421112102210021022111212421412162218622112234225522702278
Ball047-069   22632241221221802146211320832057203620212012200920122021203620572083211321462180221222412263
Ball070-092   22302194215321112069203019961969194719321923192019231932194719691996203020692111215321942230
Ball093-115   21822134208320331987194719141888186918561849184618491856186918881914194719872033208321342182
Ball116-138   21242066200919561911187418461827181518071804180318041807181518271846187419111956200920662124
Ball139-161   20601996193818881849182118051797179617971799180017991797179617971805182118491888193819962060
Ball162-184   19961932187718351809179717971807182018341844184818441834182018071797179718091835187719321996
Ball185-207   19381877183118041796180518281859189319221941194819411922189318591828180517961804183118771938
Ball208-230   18881835180417961812184818981955201120582089210020892058201119551898184818121796180418351888
Ball231-253   18491809179618121855192220032089217022362280229522802236217020892003192218551812179618091849
Ball254-276   18211797180518481922202021342250235824442500252025002444235822502134202019221848180517971821
Ball277-299   18051797182818982003213422802426256026662735275827352666256024262280213420031898182817971805
Ball300-322   17971807185919552089225024262601275828832963299129632883275826012426225020891955185918071797
Ball323-345   17961820189320112170235825602758293630763166319731663076293627582560235821702011189318201796
Ball346-368   17971834192220582236244426662883307632293326336033263229307628832666244422362058192218341797
Ball369-391   17991844194120892280250027352963316633263429346434293326316629632735250022802089194118441799
Ball392-414   18001848194821002295252027582991319733603464350034643360319729912758252022952100194818481800
Ball415-437   17991844194120892280250027352963316633263429346434293326316629632735250022802089194118441799
Ball438-460   17971834192220582236244426662883307632293326336033263229307628832666244422362058192218341797
Ball461-483   17961820189320112170235825602758293630763166319731663076293627582560235821702011189318201796
Ball484-506   17971807185919552089225024262601275828832963299129632883275826012426225020891955185918071797
Ball507-529   18051797182818982003213422802426256026662735275827352666256024262280213420031898182817971805
Ball530-552   18211797180518481922202021342250235824442500252025002444235822502134202019221848180517971821
Ball553-575   18491809179618121855192220032089217022362280229522802236217020892003192218551812179618091849
Ball576-598   18881835180417961812184818981955201120582089210020892058201119551898184818121796180418351888
Ball599-621   19381877183118041796180518281859189319221941194819411922189318591828180517961804183118771938
Ball622-644   19961932187718351809179717971807182018341844184818441834182018071797179718091835187719321996
Ball645-667   20601996193818881849182118051797179617971799180017991797179617971805182118491888193819962060
Ball668-690   21242066200919561911187418461827181518071804180318041807181518271846187419111956200920662124
Ball691-713   21822134208320331987194719141888186918561849184618491856186918881914194719872033208321342182
Ball714-736   22302194215321112069203019961969194719321923192019231932194719691996203020692111215321942230
Ball737-759   22632241221221802146211320832057203620212012200920122021203620572083211321462180221222412263
Ball760-782   22782270225522342211218621622141212421112102210021022111212421412162218622112234225522702278
Ball783-805   22752279227722682256224122252211219821882182218021822188219822112225224122562268227722792275
Frame         3
Ball001-023   23632369236523532334231222882266224722322223222022232232224722662288231223342353236523692363
Ball024-046   23682356233223022266222921942162213621162104210021042116213621622194222922662302233223562368
Ball047-069   23452312226922202169212020752036200419821968196319681982200420362075212021692220226923122345
Ball070-092   22952241218021162053199519451903187118481834183018341848187119031945199520532116218022412295
Ball093-115   22232151207520001931187118211782175317341723172017231734175317821821187119312000207521512223
Ball116-138   21362049196318841816176117201691167216611656165416561661167216911720176118161884196320492136
Ball139-161   20401945185717821723168216571646164416461649165116491646164416461657168217231782185719452040
Ball162-184   19451848176517031663164516461660168117011716172217161701168116601646164516631703176518481945
Ball185-207   18571765169716561644165816921739178918321862187218621832178917391692165816441656169717651857
Ball208-230   17821703165616441668172217971883196720372083210020832037196718831797172216681644165617031782
Ball231-253   17231663164416681733183219542083220523052369239223692305220520831954183217331668164416631723
