FrameNum      8 
Frame         1
Ball001-023   50005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000
Ball024-046   59185918591859185918591859185918591859185918591859185918591859185918591859185918591859185918
Ball047-069   68066806680668066806680668066806680668066806680668066806680668066806680668066806680668066806
Ball070-092   76327632763276327632763276327632763276327632763276327632763276327632763276327632763276327632
Ball093-115   83688368836883688368836883688368836883688368836883688368836883688368836883688368836883688368
Ball116-138   89908990899089908990899089908990899089908990899089908990899089908990899089908990899089908990
Ball139-161   94759475947594759475947594759475947594759475947594759475947594759475947594759475947594759475
Ball162-184   98099809980998099809980998099809980998099809980998099809980998099809980998099809980998099809
Ball185-207   99789978997899789978997899789978997899789978997899789978997899789978997899789978997899789978
Ball208-230   99789978997899789978997899789978997899789978997899789978997899789978997899789978997899789978
Ball231-253   98099809980998099809980998099809980998099809980998099809980998099809980998099809980998099809
Ball254-276   94759475947594759475947594759475947594759475947594759475947594759475947594759475947594759475
Ball277-299   89908990899089908990899089908990899089908990899089908990899089908990899089908990899089908990
Ball300-322   83688368836883688368836883688368836883688368836883688368836883688368836883688368836883688368
Ball323-345   76327632763276327632763276327632763276327632763276327632763276327632763276327632763276327632
Ball346-368   68066806680668066806680668066806680668066806680668066806680668066806680668066806680668066806
Ball369-391   59185918591859185918591859185918591859185918591859185918591859185918591859185918591859185918
Ball392-414   50005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000
Ball415-437   40814081408140814081408140814081408140814081408140814081408140814081408140814081408140814081
Ball438-460   31933193319331933193319331933193319331933193319331933193319331933193319331933193319331933193
Ball461-483   23672367236723672367236723672367236723672367236723672367236723672367236723672367236723672367
Ball484-506   16311631163116311631163116311631163116311631163116311631163116311631163116311631163116311631
Ball507-529   10091009100910091009100910091009100910091009100910091009100910091009100910091009100910091009
Ball530-552   05240524052405240524052405240524052405240524052405240524052405240524052405240524052405240524
Ball553-575   01900190019001900190019001900190019001900190019001900190019001900190019001900190019001900190
Ball576-598   00210021002100210021002100210021002100210021002100210021002100210021002100210021002100210021
Ball599-621   00210021002100210021002100210021002100210021002100210021002100210021002100210021002100210021
Ball622-644   01900190019001900190019001900190019001900190019001900190019001900190019001900190019001900190
Ball645-667   05240524052405240524052405240524052405240524052405240524052405240524052405240524052405240524
Ball668-690   10091009100910091009100910091009100910091009100910091009100910091009100910091009100910091009
Ball691-713   16311631163116311631163116311631163116311631163116311631163116311631163116311631163116311631
Ball714-736   23672367236723672367236723672367236723672367236723672367236723672367236723672367236723672367
Ball737-759   31933193319331933193319331933193319331933193319331933193319331933193319331933193319331933193
Ball760-782   40814081408140814081408140814081408140814081408140814081408140814081408140814081408140814081
Ball783-805   50005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000
Frame         2
Ball001-023   85358535853585358535853585358535853585358535853585358535853585358535853585358535853585358535
Ball024-046   91259125912591259125912591259125912591259125912591259125912591259125912591259125912591259125
Ball047-069   95749574957495749574957495749574957495749574957495749574957495749574957495749574957495749574
Ball070-092   98679867986798679867986798679867986798679867986798679867986798679867986798679867986798679867
Ball093-115   99949994999499949994999499949994999499949994999499949994999499949994999499949994999499949994
Ball116-138   99529952995299529952995299529952995299529952995299529952995299529952995299529952995299529952
Ball139-161   97409740974097409740974097409740974097409740974097409740974097409740974097409740974097409740
Ball162-184   93689368936893689368936893689368936893689368936893689368936893689368936893689368936893689368
Ball185-207   88468846884688468846884688468846884688468846884688468846884688468846884688468846884688468846
Ball208-230   81948194819481948194819481948194819481948194819481948194819481948194819481948194819481948194
Ball231-253   74337433743374337433743374337433743374337433743374337433743374337433743374337433743374337433
Ball254-276   65896589658965896589658965896589658965896589658965896589658965896589658965896589658965896589
Ball277-299   56905690569056905690569056905690569056905690569056905690569056905690569056905690569056905690
Ball300-322   47694769476947694769476947694769476947694769476947694769476947694769476947694769476947694769
Ball323-345   38553855385538553855385538553855385538553855385538553855385538553855385538553855385538553855
Ball346-368   29802980298029802980298029802980298029802980298029802980298029802980298029802980298029802980
Ball369-391   21742174217421742174217421742174217421742174217421742174217421742174217421742174217421742174
Ball392-414   14641464146414641464146414641464146414641464146414641464146414641464146414641464146414641464
Ball415-437   08750875087508750875087508750875087508750875087508750875087508750875087508750875087508750875
Ball438-460   04260426042604260426042604260426042604260426042604260426042604260426042604260426042604260426
Ball461-483   01320132013201320132013201320132013201320132013201320132013201320132013201320132013201320132
